URL,Title,Author,Number of Ratings,Number of Reviews,Average Ratings,Number of Pages,Published Year,Series,Genres,Awards,Places
"https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows""","Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,2959288,68446.0,5.0,759.0,2007,1.0,"['Fantasy', 'Young Adult', 'Fiction']","['Locus Award Nominee for Best Young Adult Novel (2008)', 'Odyssey Award Nominee (2008)', 'Audie Award (2008)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Puddly Award for Fiction (2008)', 'Andre Norton Award (2007)', 'Carnegie Medal Nominee (2008)']","[['London, England', '(United Kingdom)'], ['Hogwarts School of Witchcraft and Wizardry', '(United Kingdom)'], ['Pagford', '(United Kingdom)']]"
"https://www.goodreads.com/book/show/2767052-the-hunger-games""","The Hunger Games (The Hunger Games, #1)",Suzanne Collins,6684900,175492.0,4.0,374.0,2008,1.0,"['Young Adult', 'Fiction', 'Dystopia']","['Locus Award Nominee for Best Young Adult Book (2009)', 'Georgia Peach Book Award (2009)', 'Buxtehuder Bulle (2009)', 'Golden Duck Award for Young Adult (Hal Clement Award) (2009)', ""Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012)', ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010)"", ""Red House Children's Book Award for Older Readers & Overall (2010)"", 'South Carolina Book Award for Junior and Young Adult Book (2011)', 'Charlotte Award (2010)', 'Colorado Blue Spruce Young Adult Book Award (2010)', 'Teen Buckeye Book Award (2009)', ""Pennsylvania Young Readers' Choice Award for Young Adults (2010)"", 'Rhode Island Teen Book Award (2010)', ""Dorothy Canfield Fisher Children's Book Award (2010)"", 'Evergreen Teen Book Award (2011)', 'Soaring Eagle Book Award (2009)', 'Milwaukee County Teen Book Award Nominee (2010)', 'Sakura Medal for Middle School Book (2010)', 'Michigan Library Association Thumbs Up! Award (2009)', 'Florida Teens Read (2009)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010)', 'Iowa High School Book Award (2011)', 'New Mexico Land of Enchantment Award for Young Adult (2011)', 'Eliot Rosewater Indiana High School Book Award (2010)', 'The Inky Awards for Silver Inky (2009)', 'California Young Readers Medal for Young Adult (2011)', 'Lincoln Award (2011)', 'Kinderboekwinkelprijs (2010)', 'Missouri Truman Readers Award (2011)', 'CYBILS Award for Young Adult Fantasy & Science Fiction (2008)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2010)', 'The Inky Awards Shortlist for Silver Inky (2009)', 'Prix Et-lisez-moi (2011)', 'Missouri Gateway Readers Award (2011)', 'Oklahoma Sequoyah Award for High School and Intermediate (2011)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009)', ""Rebecca Caudill Young Readers' Book Award (2011)"", 'LovelyBooks Leserpreis for Fantasy (2009)', 'LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009)', 'Premi Protagonista Jove for Categoria 13-14 anys (2010)']","[['District 12, Panem', 'Capitol, Panem', 'Panem', '(United States)']]"
"https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince""","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,2575144,42015.0,4.0,652.0,2006,1.0,"['Fantasy', 'Young Adult', 'Fiction']","['Locus Award Nominee for Best Young Adult Novel (2006)', 'Audie Award for Audiobook of the Year (2006)', 'British Book of the Year (2006)']","[['Hogwarts School of Witchcraft and Wizardry', '(United Kingdom)'], ['England', '(United Kingdom)']]"
"https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire""","Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,2749673,49578.0,4.0,734.0,2002,1.0,"['Fantasy', 'Young Adult', 'Fiction']","['Hugo Award for Best Novel (2001)', ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Publieksprijs voor het Nederlandse Boek (2001)', 'Audie Award for Solo Narration - Male (2001)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2001)"", 'Golden Archer Award for Middle/Junior High (2002)', 'Indian Paintbrush Book Award (2002)', 'Deutscher Bücherpreis for Publikumspreis', 'Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2001)']","[['Hogwarts School of Witchcraft and Wizardry,\n1994', '(United Kingdom)'], ['Scotland', 'United Kingdom']]"
"https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix""","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,2653157,45371.0,4.0,870.0,2004,1.0,"['Fantasy', 'Young Adult', 'Fiction']","['Bram Stoker Award for Works for Young Readers (2003)', 'Anthony Award for Young Adult (2004)', ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Audie Award for Audiobook of the Year (2004)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004)', 'Colorado Blue Spruce Young Adult Book Award (2006)', 'Golden Archer Award for Middle/Junior High (2005)', 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004)', 'Carnegie Medal Nominee (2003)']","[['Hogwarts School of Witchcraft and Wizardry', '(United Kingdom)'], ['London, England', '(United Kingdom)']]"
"https://www.goodreads.com/book/show/19063.The_Book_Thief""",The Book Thief,Markus Zusak,1941773,116799.0,4.0,552.0,2006,0.0,"['Historical Fiction', 'Fiction', 'Young Adult']","['National Jewish Book Award for Children’s and Young Adult Literature (2006)', ""Book Sense Book of the Year Award for Children's Literature (2007)"", 'Buxtehuder Bulle (2008)', 'Sydney Taylor Book Award for Teen Readers (2007)', 'Prijs van de Kinder- en Jeugdjury Vlaanderen (2009)', 'Michael L. Printz Award Nominee (2007)', 'Exclusive Books Boeke Prize (2007)', 'Rhode Island Teen Book Award Nominee (2008)', 'The Quill Award Nominee for Young Adult/Teen (2006)', 'Zilveren Zoen (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2009)', 'Association of Jewish Libraries for Teen Book Award (2006)', 'Lincoln Award Nominee (2010)', 'Australian Book Industry Award (ABIA) Nominee for Literary Fiction (2008)', 'Kathleen Mitchell Award', 'Ena Noel Award (2008)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2009)', 'LovelyBooks Leserpreis for Allgemeine Literatur (2009)', 'Margaret A. Edwards Award (2014)']","[['Molching,\n1939', '(Germany)'], ['Germany']]"
"https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife""",The Time Traveler's Wife,Audrey Niffenegger,1619596,47976.0,4.0,500.0,2013,0.0,"['Fiction', 'Romance', 'Fantasy']","['Arthur C. Clarke Award Nominee (2005)', 'Orange Prize Nominee for Fiction Longlist (2004)', 'British Book Award (2006)', 'John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2005)', 'Exclusive Books Boeke Prize (2005)', 'ALA Alex Award (2004)']","[['Chicago, Illinois', '(United States)'], ['Illinois', '(United States)']]"
"https://www.goodreads.com/book/show/77203.The_Kite_Runner""",The Kite Runner,Khaled Hosseini,2538075,76666.0,4.0,371.0,2004,0.0,"['Fiction', 'Historical Fiction', 'Contemporary']","['Borders Original Voices Award for Fiction (2003)', ""Humo's Gouden Bladwijzer (2008)"", 'Exclusive Books Boeke Prize (2004)', 'ALA Alex Award (2004)', 'Puddly Award for Fiction (2006)', 'Lincoln Award Nominee (2006)', 'Prix des libraires du Québec for Lauréats hors Québec (2006)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']","[['Kabul', '(Afghanistan)'], ['Fremont, California', '(United States)'], ['Afghanistan', '…more\nPeshawar', '(Pakistan)'], ['…less']]"
"https://www.goodreads.com/book/show/4667024-the-help""",The Help,Kathryn Stockett,2265595,85532.0,4.0,464.0,2009,0.0,"['Fiction', 'Historical Fiction', 'Historical']","['Orange Prize Nominee for Fiction Longlist (2010)', 'Audie Award for Fiction (2010)', 'Exclusive Books Boeke Prize (2009)', 'SIBA Book Award for Fiction (2010)', 'Indies Choice Book Award for Adult Debut (2010)', 'Puddly Award for Fiction (2011)', 'Lincoln Award Nominee (2013)', 'Grand Prix des lectrices de Elle for roman (2011)', 'Goodreads Choice Award for Fiction (2009) and Nominee for Best of the Best  (2018)', 'Townsend Prize for Fiction (2010)']","[['Jackson, Mississippi,\n1962', '(United States)'], ['Jackson, Mississippi', '(United States)'], ['Mississippi', '(United States)']]"
"https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns""",A Thousand Splendid Suns,Khaled Hosseini,1208082,56651.0,4.0,372.0,2007,0.0,"['Fiction', 'Historical Fiction', 'Contemporary']","['British Book Award for Best Read of the Year (2008)', 'Book Sense Book of the Year Award for Adult Fiction (2008)', 'California Book Award for Fiction (Silver) (2007)', 'Exclusive Books Boeke Prize Nominee (2007)', 'Lincoln Award Nominee (2011)']","[['Afghanistan', 'Kabul', '(Afghanistan)'], ['Herat', '(Afghanistan)']]"
