Unnamed: 0,Title,URL,Author,Average_rating,Rating,Reviews,Pages,Year,Series,Setting,Awards,Genres,Awards_no,Adaptations
2,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://www.goodreads.com//book/show/1.Harry_Potter_and_the_Half_Blood_Prince,J.K. Rowling,4.57,2575436.0,42018.0,652.0,2006.0,1,"['Hogwarts School of Witchcraft and Wizardry  United Kingdom', '    England']","['Locus Award Nominee for Best Young Adult Novel (2006), Audie Award for Audiobook of the Year (2006), British Book of the Year (2006)']","['Fantasy', ' Young Adult', ' Fiction']",3.0,1
659,"Taking Charge of Your Fertility: The Definitive Guide to Natural Birth Control, Pregnancy Achievement, and Reproductive Health",https://www.goodreads.com//book/show/129511.Taking_Charge_of_Your_Fertility,Toni Weschler,4.54,9344.0,1222.0,512.0,2006.0,0,,[],"['Nonfiction', ' Health', ' Parenting']",,0
169,"Mistborn: The Final Empire (Mistborn, #1)",https://www.goodreads.com//book/show/68428.Mistborn,Brandon Sanderson,4.44,437355.0,30650.0,541.0,2006.0,1,['Luthadel'],"['Tähtifantasia Award Nominee (2018), Prix Elbakin.net for Meilleur roman fantasy traduit (2010)']","['Fantasy', ' Fiction', ' Fantasy']",2.0,1
275,"Lover Awakened (Black Dagger Brotherhood, #3)",https://www.goodreads.com//book/show/42900.Lover_Awakened,J.R. Ward,4.44,165417.0,7083.0,434.0,2006.0,1,"['Caldwell', ' New York  United States', ' ']","[""All About Romance (AAR) Annual Reader Poll for Best Romance & Best Paranormal & Most Tortured Hero & Strongest Heroine & Best Villain & Most-Hanky Read  & Honorable Mention for Best Couple (2007), Romantic Times Reviewers' Choice Award (RT Award) for Vampire Romance (2006)""]","['Romance', ' Fantasy', ' Romance']",2.0,0
195,"A Breath of Snow and Ashes (Outlander, #6)",https://www.goodreads.com//book/show/10965.A_Breath_of_Snow_and_Ashes,Diana Gabaldon,4.42,147191.0,5663.0,993.0,2006.0,1,"['United States of America  North Carolina', ' 1773  United States', '    North Carolina', ' 1774  United States', '    …more North Carolina', ' 1775  United States', '    North Carolina', ' 1776  United States', '    …less']","['All About Romance (AAR) Annual Reader Poll for Most-Hanky Read (tie) & Best American Historical/Frontier Romance (2006), The Quill Award for Science fiction/fantasy/horror (2006), Corine Internationaler Buchpreis for Weltbild Leserpreis (2006)']","['Historical', ' Romance', ' Fiction']",3.0,0
386,"Dead Beat (The Dresden Files, #7)",https://www.goodreads.com//book/show/17683.Dead_Beat,Jim Butcher,4.39,114236.0,3691.0,517.0,2006.0,1,"['Chicago', ' Illinois  United States', ' ']",[],"['Fantasy', ' Fantasy', ' Fiction']",,0
468,"The King of Attolia (The Queen's Thief, #3)",https://www.goodreads.com//book/show/40159.The_King_of_Attolia,Megan Whalen Turner,4.38,34170.0,3116.0,387.0,2006.0,1,,"[""Dorothy Canfield Fisher Children's Book Award Nominee (2008), Andre Norton Award Nominee (2006)""]","['Fantasy', ' Young Adult', ' Fiction']",2.0,0
5,The Book Thief,https://www.goodreads.com//book/show/19063.The_Book_Thief,Markus Zusak,4.38,1941968.0,116809.0,552.0,2006.0,0,"['Molching', ' 1939  Germany', '    Germany']","[""National Jewish Book Award for Children’s and Young Adult Literature (2006), Book Sense Book of the Year Award for Children's Literature (2007), Buxtehuder Bulle (2008), Sydney Taylor Book Award for Teen Readers (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2009)\n...more\nMichael L. Printz Award Nominee (2007), Exclusive Books Boeke Prize (2007), Rhode Island Teen Book Award Nominee (2008), The Quill Award Nominee for Young Adult/Teen (2006), Zilveren Zoen (2008), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2009), Association of Jewish Libraries for Teen Book Award (2006), Lincoln Award Nominee (2010), Australian Book Industry Award (ABIA) Nominee for Literary Fiction (2008), Kathleen Mitchell Award, Ena Noel Award (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2009), LovelyBooks Leserpreis for Allgemeine Literatur (2009), Margaret A. Edwards Award (2014)""]","['Historical', ' Fiction', ' Young Adult']",20.0,0
507,The Looming Tower: Al-Qaeda and the Road to 9/11,https://www.goodreads.com//book/show/110890.The_Looming_Tower,Lawrence Wright,4.34,26563.0,2418.0,469.0,2006.0,0,,"['Pulitzer Prize for General Nonfiction (2007), J. Anthony Lukas Book Prize (2007), Lionel Gelber Prize (2007), Helen Bernstein Book Award for Excellence in Journalism (2007), Los Angeles Times Book Prize for History (2006)\n...more\nArthur Ross Book Award (2007), National Book Award Finalist for Nonfiction (2006), IRE AWard (2006), PEN Center USA Literary Award (2007)']","['History', ' Nonfiction', ' Politics']",9.0,0
241,The Miraculous Journey of Edward Tulane,https://www.goodreads.com//book/show/37186.The_Miraculous_Journey_of_Edward_Tulane,Kate DiCamillo,4.34,87694.0,10236.0,200.0,2006.0,0,,"[""Zilveren Griffel (2007), Grand Canyon Reader Award for Intermediate Book (2008), Sunshine State Young Readers Award for Grades 3-5 (2007), Pacific Northwest Library Association Young Reader's Choice Award for Junior (2009), Charlie May Simon Children's Book Award (2009)\n...more\nBoston Globe-Horn Book Award for Fiction and Poetry (2006), The Magnolia Award (2010), Rebecca Caudill Young Readers' Book Award Nominee (2008), Hea Lasteraamat (2019)""]","['Fantasy', ' Fiction', ' Childrens']",9.0,1
